symbol,ts,side,entry,sl,tp,exit,outcome,bars_held,r_value,r_net,score,atr_pct
BTCUSDT,1776705900000,long,75665.0,75272.017857,76647.455357,75872.3,time,60,0.528,0.296,92,0.208
BTCUSDT,1776706200000,long,75610.0,75223.660714,76575.848214,75974.4,time,60,0.943,0.708,92,0.204
BTCUSDT,1776709500000,long,76055.7,75628.628571,77123.378571,75628.628571,sl,58,-1.0,-1.214,100,0.225
BTCUSDT,1776712200000,long,76288.6,75891.957143,77280.207143,75891.957143,sl,24,-1.0,-1.231,100,0.208
BTCUSDT,1776712500000,long,76180.0,75801.732143,77125.669643,75801.732143,sl,27,-1.0,-1.242,92,0.199
BTCUSDT,1776712800000,long,76137.0,75765.875,77064.8125,75765.875,sl,26,-1.0,-1.246,92,0.195
BTCUSDT,1776716400000,long,76390.0,76123.125,77057.1875,76123.125,sl,9,-1.0,-1.343,92,0.14
BTCUSDT,1776716700000,long,76262.6,75986.582143,76952.644643,75986.582143,sl,9,-1.0,-1.332,92,0.145
BTCUSDT,1776717000000,long,76194.9,75916.382143,76891.194643,75916.382143,sl,8,-1.0,-1.328,92,0.146
BTCUSDT,1776717300000,long,76195.3,75919.157143,76885.657143,75919.157143,sl,7,-1.0,-1.331,92,0.145
BTCUSDT,1776717600000,long,76189.9,75928.132143,76844.319643,75928.132143,sl,6,-1.0,-1.349,92,0.137
BTCUSDT,1776734400000,long,75979.0,75698.553571,76680.116071,75698.553571,sl,10,-1.0,-1.325,95,0.148
BTCUSDT,1776735000000,long,76075.0,75779.589286,76813.526786,75779.589286,sl,6,-1.0,-1.309,92,0.155
BTCUSDT,1776753300000,long,75983.0,75784.464286,76479.339286,75784.464286,sl,5,-1.0,-1.459,100,0.105
BTCUSDT,1776753600000,long,75952.0,75755.0,76444.5,76444.5,tp,23,2.5,2.037,100,0.104
BTCUSDT,1776753900000,long,75982.3,75783.925,76478.2375,75783.925,sl,3,-1.0,-1.46,100,0.104
BTCUSDT,1776754200000,long,75932.7,75727.735714,76445.110714,76445.110714,tp,21,2.5,2.055,100,0.108
BTCUSDT,1776754500000,long,75928.4,75727.114286,76431.614286,76431.614286,tp,20,2.5,2.047,92,0.106
BTCUSDT,1776755400000,long,75915.6,75692.492857,76473.367857,76473.367857,tp,18,2.5,2.092,92,0.118
BTCUSDT,1776757200000,long,76153.5,75880.25,76836.625,76836.625,tp,12,2.5,2.166,100,0.144
BTCUSDT,1776757800000,long,76083.2,75795.128571,76803.378571,76803.378571,tp,10,2.5,2.183,100,0.151
BTCUSDT,1776758100000,long,76050.0,75762.910714,76767.723214,76767.723214,tp,9,2.5,2.182,92,0.151
BTCUSDT,1776762000000,long,76364.6,75987.617857,77307.055357,75987.617857,sl,44,-1.0,-1.243,100,0.197
BTCUSDT,1776764100000,long,76238.9,75867.417857,77167.605357,75867.417857,sl,37,-1.0,-1.246,92,0.195
BTCUSDT,1776764400000,long,76264.0,75898.589286,77177.526786,75898.589286,sl,36,-1.0,-1.25,92,0.192
BTCUSDT,1776764700000,long,76247.0,75884.267857,77153.830357,75884.267857,sl,35,-1.0,-1.252,92,0.19
BTCUSDT,1776765000000,long,76272.0,75924.785714,77140.035714,75924.785714,sl,34,-1.0,-1.264,92,0.182
BTCUSDT,1776769800000,long,76361.8,76033.532143,77182.469643,76033.532143,sl,18,-1.0,-1.279,95,0.172
BTCUSDT,1776770100000,long,76472.0,76133.125,77319.1875,76133.125,sl,16,-1.0,-1.271,100,0.177
BTCUSDT,1776770400000,long,76634.6,76269.778571,77546.653571,76269.778571,sl,10,-1.0,-1.252,100,0.19
BTCUSDT,1776770700000,long,76631.9,76285.025,77499.0875,76285.025,sl,9,-1.0,-1.265,100,0.181
BTCUSDT,1776771000000,long,76531.3,76189.567857,77385.630357,76189.567857,sl,13,-1.0,-1.269,100,0.179
BTCUSDT,1776843600000,long,78018.8,77782.728571,78608.978571,78133.2,time,60,0.485,0.088,92,0.121
BTCUSDT,1776843900000,long,77950.7,77703.039286,78569.851786,78124.5,time,60,0.702,0.324,92,0.127
BTCUSDT,1776844200000,long,77943.9,77692.560714,78572.248214,78187.1,time,60,0.968,0.595,92,0.129
BTCUSDT,1776844500000,long,77965.4,77707.917857,78609.105357,78177.1,time,60,0.822,0.459,92,0.132
BTCUSDT,1776844800000,long,78008.8,77733.835714,78696.210714,78238.3,time,60,0.835,0.494,100,0.141
BTCUSDT,1776845100000,long,78051.8,77770.121429,78755.996429,78206.3,time,60,0.548,0.216,92,0.144
BTCUSDT,1776845700000,long,78081.5,77802.982143,78777.794643,78390.1,time,60,1.108,0.772,92,0.143
BTCUSDT,1776846000000,long,77969.8,77679.389286,78695.826786,78406.5,time,60,1.504,1.182,100,0.149
BTCUSDT,1776846300000,long,77909.4,77624.882143,78620.694643,78404.7,time,60,1.741,1.412,100,0.146
BTCUSDT,1776846600000,long,77910.1,77638.332143,78589.519643,78589.519643,tp,60,2.5,2.156,100,0.14
BTCUSDT,1776846900000,long,77913.4,77642.917857,78589.605357,78589.605357,tp,59,2.5,2.154,100,0.139
BTCUSDT,1776847200000,long,77881.6,77609.85,78560.975,78560.975,tp,58,2.5,2.156,95,0.14
BTCUSDT,1776847500000,long,77903.3,77638.621429,78564.996429,78564.996429,tp,57,2.5,2.147,92,0.136
BTCUSDT,1776857700000,long,78174.6,77920.314286,78810.314286,78810.314286,tp,29,2.5,2.131,100,0.13
BTCUSDT,1776858000000,long,78159.9,77913.757143,78775.257143,78775.257143,tp,27,2.5,2.119,100,0.126
BTCUSDT,1776858300000,long,78254.3,78001.942857,78885.192857,78885.192857,tp,29,2.5,2.128,100,0.129
BTCUSDT,1776858600000,long,78222.9,77965.953571,78865.266071,78865.266071,tp,28,2.5,2.135,92,0.131
BTCUSDT,1776858900000,long,78244.2,77983.664286,78895.539286,78895.539286,tp,27,2.5,2.14,92,0.133
BTCUSDT,1776859200000,long,78258.3,77978.442857,78957.942857,78957.942857,tp,26,2.5,2.164,92,0.143
BTCUSDT,1776859500000,long,78273.4,77993.453571,78973.266071,78973.266071,tp,25,2.5,2.164,92,0.143
BTCUSDT,1776859800000,long,78370.5,78091.589286,79067.776786,78091.589286,sl,3,-1.0,-1.337,100,0.142
BTCUSDT,1776860400000,long,78179.6,77883.046429,78920.983929,78920.983929,tp,22,2.5,2.184,95,0.152
BTCUSDT,1776860700000,long,78122.4,77816.185714,78887.935714,78887.935714,tp,21,2.5,2.194,95,0.157
BTCUSDT,1776861000000,long,78167.2,77843.985714,78975.235714,78975.235714,tp,20,2.5,2.21,95,0.165
