symbol,ts,side,entry,sl,tp,exit,outcome,bars_held,r_value,r_net,score,atr_pct
BTCUSDT,1776706200000,long,75610.0,75208.571429,77617.142857,75974.4,time,60,0.908,0.682,92,0.212
BTCUSDT,1776706500000,long,75713.9,75308.935714,77738.721429,75958.9,time,60,0.605,0.381,92,0.214
BTCUSDT,1776709500000,long,76055.7,75628.628571,78191.057143,75628.628571,sl,58,-1.0,-1.214,100,0.225
BTCUSDT,1776712200000,long,76288.6,75891.957143,78271.814286,75891.957143,sl,24,-1.0,-1.231,100,0.208
BTCUSDT,1776712500000,long,76180.0,75801.732143,78071.339286,75801.732143,sl,27,-1.0,-1.242,92,0.199
BTCUSDT,1776712800000,long,76137.0,75765.875,77992.625,75765.875,sl,26,-1.0,-1.246,92,0.195
BTCUSDT,1776716400000,long,76390.0,76123.125,77724.375,76123.125,sl,9,-1.0,-1.343,92,0.14
BTCUSDT,1776716700000,long,76262.6,75986.582143,77642.689286,75986.582143,sl,9,-1.0,-1.332,92,0.145
BTCUSDT,1776717000000,long,76194.9,75916.382143,77587.489286,75916.382143,sl,8,-1.0,-1.328,92,0.146
BTCUSDT,1776717300000,long,76195.3,75919.157143,77576.014286,75919.157143,sl,7,-1.0,-1.331,92,0.145
BTCUSDT,1776717600000,long,76189.9,75928.132143,77498.739286,75928.132143,sl,6,-1.0,-1.349,92,0.137
BTCUSDT,1776734400000,long,75979.0,75698.553571,77381.232143,75698.553571,sl,10,-1.0,-1.325,95,0.148
BTCUSDT,1776735000000,long,76075.0,75779.589286,77552.053571,75779.589286,sl,6,-1.0,-1.309,92,0.155
BTCUSDT,1776753300000,long,75983.0,75784.464286,76975.678571,75784.464286,sl,5,-1.0,-1.459,100,0.105
BTCUSDT,1776753600000,long,75952.0,75755.0,76937.0,76407.0,time,60,2.31,1.847,100,0.104
BTCUSDT,1776753900000,long,75982.3,75783.925,76974.175,75783.925,sl,3,-1.0,-1.46,100,0.104
BTCUSDT,1776754200000,long,75932.7,75727.735714,76957.521429,76404.2,time,60,2.3,1.856,100,0.108
BTCUSDT,1776754500000,long,75928.4,75727.114286,76934.828571,76349.5,time,60,2.092,1.639,92,0.106
BTCUSDT,1776755400000,long,75915.6,75692.492857,77031.135714,76282.4,time,60,1.644,1.236,92,0.118
BTCUSDT,1776757200000,long,76153.5,75880.25,77519.75,75880.25,sl,59,-1.0,-1.334,100,0.144
BTCUSDT,1776757800000,long,76083.2,75795.128571,77523.557143,75795.128571,sl,57,-1.0,-1.317,100,0.151
BTCUSDT,1776758100000,long,76050.0,75762.910714,77485.446429,75762.910714,sl,56,-1.0,-1.318,92,0.151
BTCUSDT,1776760200000,long,76287.1,75973.421429,77855.492857,75973.421429,sl,49,-1.0,-1.292,92,0.164
BTCUSDT,1776760500000,long,76305.0,76005.160714,77804.196429,76005.160714,sl,48,-1.0,-1.305,92,0.157
BTCUSDT,1776761700000,long,76465.8,76108.014286,78254.728571,76108.014286,sl,8,-1.0,-1.256,100,0.187
BTCUSDT,1776762000000,long,76364.6,76004.314286,78166.028571,76004.314286,sl,43,-1.0,-1.254,100,0.189
BTCUSDT,1776764100000,long,76238.9,75867.417857,78096.310714,75867.417857,sl,36,-1.0,-1.246,92,0.195
BTCUSDT,1776764400000,long,76264.0,75898.589286,78091.053571,75898.589286,sl,35,-1.0,-1.25,92,0.192
BTCUSDT,1776764700000,long,76247.0,75884.267857,78060.660714,75884.267857,sl,34,-1.0,-1.252,92,0.19
BTCUSDT,1776769800000,long,76361.8,76033.532143,78003.139286,76033.532143,sl,18,-1.0,-1.279,95,0.172
BTCUSDT,1776770100000,long,76472.0,76133.125,78166.375,76133.125,sl,16,-1.0,-1.271,100,0.177
BTCUSDT,1776770400000,long,76634.6,76269.778571,78458.707143,76269.778571,sl,10,-1.0,-1.252,100,0.19
BTCUSDT,1776770700000,long,76631.9,76285.025,78366.275,76285.025,sl,9,-1.0,-1.265,100,0.181
