symbol,ts,side,entry,sl,tp,exit,outcome,bars_held,r_value,r_net,score,atr_pct
BTCUSDT,1776628800000,short,74699.0,74990.767857,73969.580357,73969.580357,tp,24,2.5,2.193,100,0.156
BTCUSDT,1776629100000,short,74775.0,75077.321429,74019.196429,74019.196429,tp,23,2.5,2.203,100,0.162
BTCUSDT,1776629400000,short,74765.1,75064.082143,74017.644643,74017.644643,tp,22,2.5,2.2,100,0.16
BTCUSDT,1776629700000,short,74638.2,74945.414286,73870.164286,73870.164286,tp,21,2.5,2.208,92,0.165
BTCUSDT,1776630000000,short,74645.1,74950.707143,73881.082143,73881.082143,tp,20,2.5,2.207,92,0.164
BTCUSDT,1776630300000,short,74722.0,75027.107143,73959.232143,73959.232143,tp,19,2.5,2.206,92,0.163
BTCUSDT,1776630600000,short,74830.8,75127.335714,74089.460714,74089.460714,tp,18,2.5,2.197,92,0.159
BTCUSDT,1776630900000,short,74736.6,75024.546429,74016.733929,74016.733929,tp,17,2.5,2.189,100,0.154
BTCUSDT,1776633000000,short,74647.1,75003.403571,73756.341071,73756.341071,tp,13,2.5,2.249,92,0.191
BTCUSDT,1776633300000,short,74598.2,74955.789286,73704.226786,73704.226786,tp,32,2.5,2.25,100,0.192
BTCUSDT,1776633600000,short,74668.6,75016.564286,73798.689286,73798.689286,tp,8,2.5,2.242,100,0.186
BTCUSDT,1776633900000,short,74710.1,75046.135714,73870.010714,73870.010714,tp,7,2.5,2.233,100,0.18
BTCUSDT,1776634200000,short,74700.1,75038.903571,73853.091071,73853.091071,tp,6,2.5,2.235,100,0.181
BTCUSDT,1776634500000,short,74731.6,75064.957143,73898.207143,73898.207143,tp,5,2.5,2.231,100,0.178
BTCUSDT,1776634800000,short,74702.6,75020.671429,73907.421429,73907.421429,tp,4,2.5,2.218,100,0.17
BTCUSDT,1776635100000,short,74586.0,74923.446429,73742.383929,73742.383929,tp,6,2.5,2.235,100,0.181
BTCUSDT,1776635400000,short,74376.2,74710.271429,73541.021429,74710.271429,sl,46,-1.0,-1.267,92,0.18
BTCUSDT,1776635700000,short,74381.2,74706.092857,73568.967857,74706.092857,sl,45,-1.0,-1.275,92,0.175
BTCUSDT,1776639900000,short,73920.0,74473.642857,72535.892857,74473.642857,sl,29,-1.0,-1.16,100,0.3
BTCUSDT,1776640200000,short,73995.5,74545.178571,72621.303571,74545.178571,sl,28,-1.0,-1.162,100,0.297
BTCUSDT,1776640500000,short,73897.8,74377.925,72697.4875,74377.925,sl,27,-1.0,-1.185,100,0.26
BTCUSDT,1776640800000,short,73828.1,74266.064286,72733.189286,74266.064286,sl,18,-1.0,-1.202,100,0.237
BTCUSDT,1776641100000,short,73853.1,74269.957143,72810.957143,74269.957143,sl,17,-1.0,-1.213,100,0.226
BTCUSDT,1776641400000,short,73840.5,74230.732143,72864.919643,74230.732143,sl,11,-1.0,-1.227,100,0.211
BTCUSDT,1776641700000,short,73845.3,74221.192857,72905.567857,74221.192857,sl,10,-1.0,-1.236,100,0.204
BTCUSDT,1776642000000,short,73868.4,74221.846429,72984.783929,74221.846429,sl,9,-1.0,-1.251,100,0.191
BTCUSDT,1776642300000,short,73880.4,74224.507143,73020.132143,74224.507143,sl,8,-1.0,-1.258,100,0.186
BTCUSDT,1776642600000,short,73894.1,74244.867857,73017.180357,74244.867857,sl,7,-1.0,-1.253,100,0.19
BTCUSDT,1776698100000,long,75138.7,74500.842857,76733.342857,76341.8,time,60,1.886,1.745,95,0.34
BTCUSDT,1776698400000,long,75386.9,74721.382143,77050.694643,76390.0,time,60,1.507,1.371,100,0.353
BTCUSDT,1776698700000,long,75703.7,75012.021429,77432.896429,76262.6,time,60,0.808,0.677,100,0.365
BTCUSDT,1776699000000,long,75521.7,74833.914286,77241.164286,76194.9,time,60,0.979,0.847,100,0.364
BTCUSDT,1776699300000,long,75527.0,74868.803571,77172.491071,76195.3,time,60,1.015,0.878,100,0.349
BTCUSDT,1776699600000,long,75535.0,74915.553571,77083.616071,76189.9,time,60,1.057,0.911,100,0.328
BTCUSDT,1776699900000,long,75485.0,74874.964286,77010.089286,76210.6,time,60,1.189,1.041,92,0.323
BTCUSDT,1776705900000,long,75665.0,75272.017857,76647.455357,75872.3,time,60,0.528,0.296,92,0.208
BTCUSDT,1776706200000,long,75610.0,75223.660714,76575.848214,75974.4,time,60,0.943,0.708,92,0.204
BTCUSDT,1776709500000,long,76055.7,75628.628571,77123.378571,75628.628571,sl,58,-1.0,-1.214,100,0.225
BTCUSDT,1776712200000,long,76288.6,75891.957143,77280.207143,75891.957143,sl,24,-1.0,-1.231,100,0.208
BTCUSDT,1776712500000,long,76180.0,75801.732143,77125.669643,75801.732143,sl,27,-1.0,-1.242,92,0.199
BTCUSDT,1776712800000,long,76137.0,75765.875,77064.8125,75765.875,sl,26,-1.0,-1.246,92,0.195
BTCUSDT,1776716400000,long,76390.0,76123.125,77057.1875,76123.125,sl,9,-1.0,-1.343,92,0.14
BTCUSDT,1776716700000,long,76262.6,75986.582143,76952.644643,75986.582143,sl,9,-1.0,-1.332,92,0.145
BTCUSDT,1776717000000,long,76194.9,75916.382143,76891.194643,75916.382143,sl,8,-1.0,-1.328,92,0.146
BTCUSDT,1776717300000,long,76195.3,75919.157143,76885.657143,75919.157143,sl,7,-1.0,-1.331,92,0.145
BTCUSDT,1776717600000,long,76189.9,75928.132143,76844.319643,75928.132143,sl,6,-1.0,-1.349,92,0.137
BTCUSDT,1776732600000,long,75893.4,75626.489286,76560.676786,75626.489286,sl,21,-1.0,-1.341,95,0.141
BTCUSDT,1776734400000,long,75979.0,75698.553571,76680.116071,75698.553571,sl,10,-1.0,-1.325,95,0.148
BTCUSDT,1776735000000,long,76075.0,75779.589286,76813.526786,75779.589286,sl,6,-1.0,-1.309,92,0.155
BTCUSDT,1776753000000,long,76020.3,75821.960714,76516.148214,75821.960714,sl,6,-1.0,-1.46,100,0.104
BTCUSDT,1776753300000,long,75983.0,75784.464286,76479.339286,75784.464286,sl,5,-1.0,-1.459,100,0.105
BTCUSDT,1776753600000,long,75952.0,75755.0,76444.5,76444.5,tp,23,2.5,2.037,100,0.104
BTCUSDT,1776753900000,long,75982.3,75783.925,76478.2375,75783.925,sl,3,-1.0,-1.46,100,0.104
BTCUSDT,1776754200000,long,75932.7,75727.735714,76445.110714,76445.110714,tp,21,2.5,2.055,100,0.108
BTCUSDT,1776754500000,long,75928.4,75727.114286,76431.614286,76431.614286,tp,20,2.5,2.047,92,0.106
BTCUSDT,1776755400000,long,75915.6,75692.492857,76473.367857,76473.367857,tp,18,2.5,2.092,92,0.118
BTCUSDT,1776757200000,long,76193.5,75920.25,76876.625,76876.625,tp,12,2.5,2.165,100,0.143
BTCUSDT,1776757800000,long,76083.2,75801.110714,76788.423214,76788.423214,tp,11,2.5,2.176,100,0.148
BTCUSDT,1776758100000,long,76050.0,75770.732143,76748.169643,76748.169643,tp,10,2.5,2.173,100,0.147
BTCUSDT,1776758400000,long,76104.9,75817.685714,76822.935714,76822.935714,tp,9,2.5,2.182,92,0.151
BTCUSDT,1776762000000,long,76364.6,76004.314286,77265.314286,76004.314286,sl,44,-1.0,-1.254,100,0.189
BTCUSDT,1776764100000,long,76238.9,75867.417857,77167.605357,75867.417857,sl,37,-1.0,-1.246,92,0.195
BTCUSDT,1776764400000,long,76264.0,75898.589286,77177.526786,75898.589286,sl,36,-1.0,-1.25,92,0.192
BTCUSDT,1776764700000,long,76247.0,75884.267857,77153.830357,75884.267857,sl,35,-1.0,-1.252,92,0.19
BTCUSDT,1776769800000,long,76361.8,76033.532143,77182.469643,76033.532143,sl,18,-1.0,-1.279,95,0.172
BTCUSDT,1776770100000,long,76472.0,76133.125,77319.1875,76133.125,sl,16,-1.0,-1.271,100,0.177
BTCUSDT,1776770400000,long,76634.6,76269.778571,77546.653571,76269.778571,sl,10,-1.0,-1.252,100,0.19
BTCUSDT,1776770700000,long,76631.9,76285.025,77499.0875,76285.025,sl,9,-1.0,-1.265,100,0.181
BTCUSDT,1776771000000,long,76531.3,76189.567857,77385.630357,76189.567857,sl,13,-1.0,-1.269,100,0.179
BTCUSDT,1776843600000,long,78018.8,77782.728571,78608.978571,78133.2,time,60,0.485,0.088,92,0.121
BTCUSDT,1776843900000,long,77950.7,77703.039286,78569.851786,78124.5,time,60,0.702,0.324,92,0.127
BTCUSDT,1776844200000,long,77943.9,77692.560714,78572.248214,78187.1,time,60,0.968,0.595,92,0.129
BTCUSDT,1776844500000,long,77965.4,77707.917857,78609.105357,78177.1,time,60,0.822,0.459,92,0.132
BTCUSDT,1776844800000,long,78008.8,77733.835714,78696.210714,78238.3,time,60,0.835,0.494,100,0.141
BTCUSDT,1776845100000,long,78051.8,77770.121429,78755.996429,78206.3,time,60,0.548,0.216,92,0.144
BTCUSDT,1776845700000,long,78081.5,77802.982143,78777.794643,78390.1,time,60,1.108,0.772,92,0.143
BTCUSDT,1776846000000,long,77969.8,77679.389286,78695.826786,78406.5,time,60,1.504,1.182,100,0.149
BTCUSDT,1776846300000,long,77909.4,77624.882143,78620.694643,78404.7,time,60,1.741,1.412,100,0.146
BTCUSDT,1776846600000,long,77910.1,77638.332143,78589.519643,78589.519643,tp,60,2.5,2.156,100,0.14
BTCUSDT,1776846900000,long,77913.4,77642.917857,78589.605357,78589.605357,tp,59,2.5,2.154,100,0.139
BTCUSDT,1776847200000,long,77881.6,77609.85,78560.975,78560.975,tp,58,2.5,2.156,95,0.14
BTCUSDT,1776847500000,long,77903.3,77638.621429,78564.996429,78564.996429,tp,57,2.5,2.147,92,0.136
BTCUSDT,1776850800000,long,78089.5,77877.910714,78618.473214,78618.473214,tp,46,2.5,2.057,92,0.108
BTCUSDT,1776851100000,long,78049.9,77840.078571,78574.453571,78574.453571,tp,45,2.5,2.054,92,0.108
BTCUSDT,1776853800000,long,78112.6,77887.6,78675.1,78675.1,tp,39,2.5,2.083,92,0.115
BTCUSDT,1776854100000,long,78085.5,77869.607143,78625.232143,78625.232143,tp,35,2.5,2.066,92,0.111
BTCUSDT,1776854400000,long,78068.2,77854.932143,78601.369643,78601.369643,tp,34,2.5,2.061,92,0.109
BTCUSDT,1776854700000,long,78066.4,77858.542857,78586.042857,78586.042857,tp,33,2.5,2.049,92,0.107
BTCUSDT,1776855900000,long,78070.5,77834.339286,78660.901786,78660.901786,tp,32,2.5,2.103,100,0.121
BTCUSDT,1776856200000,long,78100.1,77865.010714,78687.823214,78687.823214,tp,31,2.5,2.101,100,0.12
BTCUSDT,1776857700000,long,78174.6,77920.314286,78810.314286,78810.314286,tp,29,2.5,2.131,100,0.13
